City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,East London,ZA,-33.0153,27.9116,65.1,63,72,14.65,broken clouds
189,Chatham,GB,51.3789,0.5279,56.41,88,96,1.01,overcast clouds
190,Riberalta,BO,-10.9833,-66.1,88.0,62,92,0.0,overcast clouds
191,Kenai,US,60.5544,-151.2583,33.15,94,100,15.03,overcast clouds
192,Khatanga,RU,71.9667,102.5,5.85,84,100,8.05,overcast clouds
193,Ipixuna,BR,-1.7625,-48.8043,76.95,96,99,3.4,overcast clouds
194,Jalu,LY,29.0331,21.5482,68.04,71,23,9.91,few clouds
195,Rio Grande,BR,-32.035,-52.0986,68.95,85,9,20.36,clear sky
196,Mbouda,CM,5.6258,10.2552,61.56,92,97,1.19,light rain
197,Dingle,PH,10.9995,122.6711,78.49,88,78,9.69,broken clouds
198,Inongo,CD,-1.95,18.2667,69.57,96,93,2.44,overcast clouds
199,Sortland,NO,68.6949,15.4162,41.36,91,100,5.41,overcast clouds
200,Dikson,RU,73.5069,80.5464,4.91,88,100,16.13,overcast clouds
201,Afua,BR,-0.1567,-50.3867,78.04,87,77,6.42,broken clouds
202,Mehamn,NO,71.0357,27.8492,39.6,81,90,29.82,overcast clouds
203,Zhicheng,CN,30.2956,111.5047,59.34,68,1,2.21,light rain
204,Ancud,CL,-41.8697,-73.8203,47.86,77,53,10.58,broken clouds
205,Shache,CN,38.4167,77.2406,44.65,41,7,3.0,clear sky
206,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,55,0,20.71,light rain
207,Palmer,US,42.1584,-72.3287,49.32,72,28,5.01,scattered clouds
208,Tual,ID,-5.6667,132.75,84.11,70,99,5.46,overcast clouds
209,Shar,KZ,49.5886,81.0453,38.79,66,87,6.53,overcast clouds
210,Seoul,KR,37.5683,126.9778,58.44,71,0,9.22,clear sky
211,Lufilufi,WS,-13.8745,-171.5986,80.38,69,84,15.03,broken clouds
212,Valparaiso,CL,-33.0393,-71.6273,56.32,87,0,8.05,clear sky
213,Ishigaki,JP,24.3448,124.1572,75.33,78,75,3.44,broken clouds
214,Marfino,RU,55.7028,37.3822,49.95,82,90,17.9,overcast clouds
215,Sorland,NO,67.667,12.6934,45.86,81,100,22.75,overcast clouds
216,Magistralnyy,RU,56.1725,107.4458,24.48,54,100,5.28,overcast clouds
217,Sitka,US,57.0531,-135.33,42.37,81,99,5.06,light rain
218,Chilmari,BD,25.5559,89.6715,69.93,76,13,7.07,few clouds
219,Ajdabiya,LY,30.7554,20.2263,67.95,76,0,7.0,clear sky
220,Upington,ZA,-28.4478,21.2561,61.18,67,0,5.75,clear sky
