City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Ust-Kuyga,RU,2021-10-24 22:05:58,70.0167,135.6,2.53,98,100,2.46
190,Bardiyah,LY,2021-10-24 22:05:59,31.7561,25.0865,71.35,64,99,6.17
191,Tilichiki,RU,2021-10-24 22:05:59,60.4667,166.1,8.28,90,50,8.12
192,Puquio,PE,2021-10-24 22:05:59,-14.7,-74.1333,60.3,28,1,10.87
193,Peniche,PT,2021-10-24 22:06:00,39.3558,-9.3811,61.61,91,17,6.82
194,Hot Springs,US,2021-10-24 22:06:00,34.5037,-93.0552,83.32,48,75,5.01
195,Burgersdorp,ZA,2021-10-24 22:06:00,-30.9977,26.3286,46.58,75,0,9.55
196,Pemba,MZ,2021-10-24 22:06:01,-12.974,40.5178,78.28,84,6,7.34
197,Udachnyy,RU,2021-10-24 22:06:01,66.4167,112.4,16.05,99,100,3.4
198,Novo Aripuana,BR,2021-10-24 22:06:02,-5.1206,-60.3797,75.56,92,92,2.19
199,Thinadhoo,MV,2021-10-24 22:06:03,0.5333,72.9333,83.01,71,71,15.66
200,Mahebourg,MU,2021-10-24 22:01:54,-20.4081,57.7,75.25,73,40,12.66
201,Port Blair,IN,2021-10-24 22:04:45,11.6667,92.75,79.79,81,70,4.14
202,Tabou,CI,2021-10-24 22:06:03,4.423,-7.3528,77.4,84,93,6.87
203,Xining,CN,2021-10-24 22:01:37,36.6167,101.7667,40.33,75,93,2.17
204,Marsa Matruh,EG,2021-10-24 22:03:15,31.3525,27.2453,70.7,73,7,8.86
205,Husavik,IS,2021-10-24 22:06:04,66.0449,-17.3389,38.03,98,100,15.37
206,Auki,SB,2021-10-24 22:02:40,-8.7676,160.7034,83.66,71,16,2.66
207,Neath,GB,2021-10-24 22:01:56,51.6632,-3.8044,58.64,88,36,1.99
208,Kununurra,AU,2021-10-24 22:02:47,-15.7667,128.7333,80.58,74,91,3.44
209,Port Hardy,CA,2021-10-24 22:05:23,50.6996,-127.4199,50.18,93,75,13.8
